election_code,election_date,territory_code,territory_name,territory_type,organ,state,party,party_full,party_type,votes,votes_pct,mandates,presidents,absolute_majorities,electoral_circles_compete
AUT25,2025-10-12,010318,"Tamengos, Aguim e Óis do Bairro",Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,27,1.58,NA,NA,NA,NA
AUT25,2025-10-12,010402,Alvarenga,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,286,42.56,NA,NA,NA,NA
AUT25,2025-10-12,010402,Alvarenga,Freguesia,CM,Resultados Apurados,PPD/PSD.CDS-PP.PPM.IL, ,Coalition,281,41.82,NA,NA,NA,NA
AUT25,2025-10-12,010402,Alvarenga,Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,68,10.12,NA,NA,NA,NA
AUT25,2025-10-12,010402,Alvarenga,Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,11,1.64,NA,NA,NA,NA
AUT25,2025-10-12,010407,Chave,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,365,44.19,NA,NA,NA,NA
AUT25,2025-10-12,010407,Chave,Freguesia,CM,Resultados Apurados,PPD/PSD.CDS-PP.PPM.IL, ,Coalition,322,38.98,NA,NA,NA,NA
AUT25,2025-10-12,010407,Chave,Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,103,12.47,NA,NA,NA,NA
AUT25,2025-10-12,010407,Chave,Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,11,1.33,NA,NA,NA,NA
AUT25,2025-10-12,010409,Escariz,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,673,47.06,NA,NA,NA,NA
AUT25,2025-10-12,010409,Escariz,Freguesia,CM,Resultados Apurados,PPD/PSD.CDS-PP.PPM.IL, ,Coalition,541,37.83,NA,NA,NA,NA
AUT25,2025-10-12,010409,Escariz,Freguesia,CM,Resultados Apurados,CH, ,PoliticalParty,149,10.42,NA,NA,NA,NA
AUT25,2025-10-12,010409,Escariz,Freguesia,CM,Resultados Apurados,PCP-PEV, ,Coalition,15,1.05,NA,NA,NA,NA
AUT25,2025-10-12,010411,Fermedo,Freguesia,CM,Resultados Apurados,PPD/PSD.CDS-PP.PPM.IL, ,Coalition,444,51.81,NA,NA,NA,NA
AUT25,2025-10-12,010411,Fermedo,Freguesia,CM,Resultados Apurados,PS, ,PoliticalParty,335,39.09,NA,NA,NA,NA
